Tunnel cluster ID, Priority, Average throughput, Standard deviation
1, 0.7515205631649863, 0.7515205631649863, 0.0, 
2, 0.6701250655091662, 0.6701250655091662, 0.0, 
3, 0.4724451335726899, 0.4724451335726899, 0.0, 
4, 0.46745425409204766, 0.46745425409204766, 0.0, 
5, 0.45042323140090984, 0.45042323140090984, 0.0, 
6, 0.42425755191746445, 0.42425755191746445, 0.0, 
7, 0.38173161470253625, 0.38173161470253625, 0.0, 
8, 0.32504395829451366, 0.32504395829451366, 0.0, 
9, 0.30951519049947124, 0.30951519049947124, 0.0, 
10, 0.1749029221462229, 0.1749029221462229, 0.0, 
