label,model_idx,fape,lddt,rmsd,kabsch,prmsd,plddt,plddt_pde
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,1,3.083566188812256,0.8425348997116089,2.024148464202881,1.1769863367080688,2.046834707260132,0.9324999451637268,0.8072940111160278
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,2,2.656731605529785,0.8813506364822388,1.3401951789855957,1.021225094795227,2.072366952896118,0.8412500023841858,0.7564256191253662
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,3,2.959057092666626,0.8564658761024475,1.9629123210906982,1.142261028289795,2.2899222373962402,0.9131249785423279,0.7504938840866089
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,4,2.923107385635376,0.8497206568717957,2.032639980316162,1.0522096157073975,2.4693305492401123,0.7799999713897705,0.7369880676269531
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,5,2.634247064590454,0.8821003437042236,1.3044917583465576,0.7967351675033569,2.5167601108551025,0.7731250524520874,0.7376625537872314
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,6,2.7772326469421387,0.8784825801849365,1.6896402835845947,1.020004391670227,2.5500733852386475,0.6981250047683716,0.6467306017875671
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,7,2.8441200256347656,0.8610473871231079,1.548797845840454,0.9903597831726074,2.5750298500061035,0.7731249928474426,0.6968826055526733
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,8,2.755711555480957,0.885630190372467,1.4057704210281372,0.8599334955215454,2.6141269207000732,0.7412499785423279,0.6880233883857727
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,9,2.656902313232422,0.8868476748466492,1.2070430517196655,0.7604115605354309,2.655395269393921,0.7524999380111694,0.7147947549819946
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,10,2.57747483253479,0.8945764303207397,1.168974757194519,0.7888548374176025,2.6955385208129883,0.7981249690055847,0.6998642086982727
EPH_relaxed_0001_pdb2pqr_Repair_16_r2_0001_complex,11,2.481957197189331,0.8943741321563721,1.2524464130401611,0.8678989410400391,2.7244510650634766,0.7587500214576721,0.7225091457366943
